,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
0,Boeing 777,Couple Leisure,Business Class,Barbados to London Heathrow,2022-12-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
1,Boeing 777-200,Solo Leisure,Economy Class,Doha to  Gatwick,2022-11-01 00:00:00,2.0,5.0,4.0,4.0,3.0,5,0.0,yes
2,A320,Business,Business Class,Glasgow to London,2022-12-01 00:00:00,5.0,5.0,3.0,3.0,5.0,3,3.0,no
3,Boeing 777,Couple Leisure,Premium Economy,London to Boston,2022-12-01 00:00:00,3.0,4.0,3.0,0.0,3.0,3,0.0,yes
4,A320,Solo Leisure,Business Class,London to Prague,2022-11-01 00:00:00,2.0,1.0,1.0,0.0,2.0,1,0.0,no
5,None,Business,Business Class,London to Larnaca,2022-12-01 00:00:00,1.0,0.0,0.0,0.0,2.0,3,0.0,no
6,None,Family Leisure,Economy Class,Cairo to London,2022-12-01 00:00:00,3.0,2.0,1.0,0.0,3.0,2,0.0,no
7,Boeing 787-9,Business,Economy Class,Denver to London,2022-12-01 00:00:00,1.0,1.0,1.0,3.0,1.0,1,0.0,no
8,A320,Solo Leisure,Business Class,London to Marrakech,2022-06-01 00:00:00,3.0,5.0,5.0,0.0,4.0,3,0.0,yes
9,A380,Solo Leisure,Economy Class,San Francisco to London,2022-11-01 00:00:00,2.0,1.0,2.0,2.0,3.0,2,1.0,no
10,A320,Solo Leisure,Business Class,London to Lisbon,2022-11-01 00:00:00,3.0,4.0,4.0,0.0,3.0,3,0.0,yes
11,Boeing 787 / A320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,2022-01-01 00:00:00,4.0,4.0,4.0,4.0,4.0,4,0.0,yes
12,None,Solo Leisure,Economy Class,Miami to Budapest via London,2022-11-01 00:00:00,2.0,3.0,3.0,4.0,1.0,1,0.0,no
13,None,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),2022-11-01 00:00:00,3.0,2.0,1.0,0.0,4.0,2,0.0,no
14,None,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,2022-08-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
15,Boeing 777,Solo Leisure,Business Class,London to Cape Town,2022-11-01 00:00:00,4.0,2.0,1.0,4.0,1.0,1,0.0,no
16,None,Solo Leisure,Economy Class,Milan to Dallas via London ,2022-11-01 00:00:00,2.0,5.0,2.0,2.0,2.0,1,2.0,no
17,Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,2022-11-01 00:00:00,1.0,3.0,3.0,1.0,2.0,3,0.0,yes
18,None,Couple Leisure,Business Class,Dubai to Belfast via London,2022-10-01 00:00:00,3.0,3.0,3.0,2.0,1.0,1,2.0,no
19,None,Couple Leisure,Economy Class,Dallas to Bologna via London,2022-07-01 00:00:00,5.0,5.0,0.0,0.0,1.0,1,0.0,no
20,None,Solo Leisure,Economy Class,San Francisco to London,2022-10-01 00:00:00,0.0,0.0,0.0,0.0,1.0,1,0.0,no
21,A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,2022-10-01 00:00:00,2.0,1.0,1.0,0.0,3.0,3,0.0,no
22,Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,2022-10-01 00:00:00,3.0,1.0,1.0,2.0,1.0,1,1.0,no
23,A350-1000,Solo Leisure,Business Class,London to Los Angeles,2022-10-01 00:00:00,5.0,4.0,5.0,5.0,3.0,5,5.0,yes
24,A320,Solo Leisure,Business Class,Copenhagen to Heathrow,2022-10-01 00:00:00,3.0,5.0,5.0,0.0,4.0,5,5.0,yes
25,A320,Family Leisure,Economy Class,Larnaca to London,2022-10-01 00:00:00,1.0,2.0,1.0,1.0,2.0,2,0.0,no
26,Boeing 787-10,Couple Leisure,Business Class,Atlanta to London,2022-10-01 00:00:00,5.0,4.0,4.0,5.0,5.0,4,5.0,yes
27,A380,Solo Leisure,Business Class,Madrid to San Francisco via London,2022-09-01 00:00:00,3.0,1.0,1.0,4.0,3.0,1,0.0,no
28,A380,Solo Leisure,Economy Class,London to Washington,2022-10-01 00:00:00,3.0,5.0,5.0,3.0,2.0,5,0.0,yes
29,A380,Couple Leisure,Economy Class,London to San Francisco,2022-10-01 00:00:00,1.0,1.0,3.0,3.0,1.0,1,5.0,no
30,None,Solo Leisure,Economy Class,London to Delhi,2022-10-01 00:00:00,2.0,2.0,1.0,3.0,4.0,1,0.0,no
31,Boeing 777-300,Couple Leisure,Economy Class,London to Los Angeles,2022-10-01 00:00:00,3.0,4.0,3.0,4.0,4.0,4,0.0,yes
32,Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,2022-10-01 00:00:00,5.0,5.0,3.0,2.0,4.0,3,0.0,yes
33,A380,Solo Leisure,Business Class,Dubai to London,2022-10-01 00:00:00,4.0,4.0,4.0,2.0,4.0,3,2.0,yes
34,A320neo,Couple Leisure,Economy Class,London to Cairo,2022-10-01 00:00:00,1.0,1.0,1.0,0.0,4.0,1,1.0,no
35,Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,2022-10-01 00:00:00,5.0,5.0,5.0,5.0,5.0,4,4.0,yes
36,A321neo,Business,Economy Class,London to Cairo,2022-10-01 00:00:00,2.0,4.0,1.0,0.0,3.0,1,2.0,no
37,A380,Couple Leisure,Economy Class,Dallas to London,2022-09-01 00:00:00,2.0,4.0,2.0,4.0,4.0,3,0.0,yes
38,A319,Couple Leisure,Business Class,Jersey to London Heathrow,2022-09-01 00:00:00,4.0,4.0,4.0,0.0,3.0,4,0.0,yes
39,A320,Couple Leisure,Business Class,London Heathrow to Jersey,2022-09-01 00:00:00,4.0,5.0,4.0,0.0,3.0,4,0.0,yes
40,A320-200,Solo Leisure,Business Class,Istanbul to London Heathrow,2022-09-01 00:00:00,1.0,3.0,2.0,1.0,3.0,2,0.0,no
41,Boeing 777-200,Solo Leisure,Business Class,London Heathrow to New York JFK,2022-09-01 00:00:00,5.0,4.0,4.0,4.0,5.0,5,0.0,yes
42,None,Business,Economy Class,Gothenburg to Jersey via London,2022-06-01 00:00:00,2.0,2.0,0.0,0.0,1.0,1,0.0,no
43,None,Solo Leisure,Premium Economy,Heathrow to Mexico City,2022-09-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,5.0,yes
44,None,Solo Leisure,Economy Class,London to Tampa,2022-09-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,5.0,yes
45,None,Solo Leisure,Economy Class,Sydney to London via Singapore,2022-09-01 00:00:00,1.0,3.0,2.0,5.0,4.0,2,5.0,yes
46,A320,Couple Leisure,Economy Class,London to Lisbon,2022-09-01 00:00:00,4.0,5.0,1.0,0.0,3.0,3,0.0,yes
47,None,Business,Business Class,London to Istanbul,2022-09-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
48,None,Couple Leisure,Economy Class,London to Manchester,2022-09-01 00:00:00,4.0,1.0,2.0,1.0,1.0,1,1.0,no
49,Boeing 777,Family Leisure,Economy Class,London to Rome,2022-08-01 00:00:00,4.0,4.0,3.0,0.0,1.0,2,0.0,no
50,None,Couple Leisure,Business Class,London Gatwick to Malaga,2022-09-01 00:00:00,3.0,5.0,5.0,1.0,4.0,3,1.0,yes
51,None,Business,Economy Class,Heathrow to Tenerife,2021-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
52,None,Couple Leisure,Economy Class,Manchester to Seattle via London,2022-08-01 00:00:00,3.0,2.0,1.0,2.0,4.0,3,0.0,no
53,None,Couple Leisure,Premium Economy,San Francisco to London,2022-04-01 00:00:00,2.0,1.0,2.0,3.0,1.0,1,0.0,no
54,None,Couple Leisure,Economy Class,Berlin to London City,2022-08-01 00:00:00,3.0,5.0,4.0,0.0,2.0,4,0.0,yes
55,Boeing 787,Couple Leisure,Economy Class,Tel Aviv to London,2022-08-01 00:00:00,5.0,5.0,5.0,5.0,3.0,4,0.0,yes
56,None,Solo Leisure,Business Class,London to Manila via Singapore,2022-06-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,0.0,no
57,None,Solo Leisure,Economy Class,London to Barcelona,2022-06-01 00:00:00,1.0,2.0,1.0,0.0,1.0,1,0.0,no
58,None,Business,Business Class,Los Angeles to Thessaloniki via London,2022-06-01 00:00:00,2.0,2.0,1.0,0.0,1.0,1,0.0,no
59,None,Couple Leisure,Economy Class,Boston to Dublin via London,2022-08-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,1.0,yes
60,None,Couple Leisure,Economy Class,London to New York,2022-07-01 00:00:00,5.0,5.0,5.0,5.0,5.0,3,5.0,yes
61,Boeing 777,Family Leisure,Economy Class,Cape Town to London Heathrow,2022-08-01 00:00:00,2.0,1.0,1.0,3.0,4.0,3,0.0,no
62,None,Couple Leisure,Premium Economy,Dallas Ft Worth to London,2022-05-01 00:00:00,3.0,5.0,5.0,0.0,4.0,4,0.0,yes
63,None,Family Leisure,Economy Class,London to Amsterdam,2022-07-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
64,A320,Solo Leisure,Business Class,London to Marrakesh,2022-06-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
65,None,Solo Leisure,Economy Class,Accra to London,2021-11-01 00:00:00,0.0,0.0,0.0,0.0,1.0,1,0.0,no
66,None,Solo Leisure,Economy Class,Nairobi to New York via London,2022-07-01 00:00:00,3.0,5.0,3.0,0.0,3.0,1,0.0,no
67,A380,Family Leisure,Business Class,San Francisco to London,2022-07-01 00:00:00,4.0,5.0,4.0,4.0,4.0,4,5.0,yes
68,A320,Solo Leisure,Economy Class,London to Amman,2022-05-01 00:00:00,1.0,1.0,0.0,0.0,1.0,1,0.0,no
69,None,Family Leisure,Economy Class,Edinburgh to Washington via London,2022-07-01 00:00:00,2.0,2.0,2.0,0.0,1.0,1,0.0,no
70,None,Couple Leisure,Economy Class,Vancouver to Amsterdam via London,2022-06-01 00:00:00,5.0,5.0,5.0,5.0,1.0,1,0.0,no
71,A350-1000,Couple Leisure,Economy Class,Sao Paulo to Heathrow ,2022-07-01 00:00:00,1.0,2.0,3.0,1.0,3.0,3,0.0,yes
72,A321,Couple Leisure,Economy Class,London to Reykjavik,2022-05-01 00:00:00,3.0,4.0,1.0,0.0,1.0,4,0.0,yes
73,A321,Business,Economy Class,Belfast to London,2022-07-01 00:00:00,4.0,5.0,2.0,0.0,2.0,4,0.0,yes
74,None,None,Business Class,London to Malaga,2022-07-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
75,None,Couple Leisure,Business Class,London to Toronto,2022-07-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,0.0,yes
76,A350,Family Leisure,Business Class,London to Los Angeles,2022-07-01 00:00:00,4.0,4.0,4.0,5.0,5.0,4,5.0,yes
77,None,Family Leisure,Economy Class,Washington to London,2022-07-01 00:00:00,1.0,1.0,0.0,0.0,1.0,1,0.0,no
78,None,Solo Leisure,Premium Economy,Nairobi to New York via London,2022-07-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
79,Embraer 190,Couple Leisure,Business Class,Dublin to London City,2022-07-01 00:00:00,4.0,4.0,3.0,0.0,1.0,1,0.0,no
80,"A320, Boeing 787",Solo Leisure,Premium Economy,Venice to Baltimore via London Heathrow,2022-07-01 00:00:00,3.0,3.0,3.0,2.0,1.0,2,1.0,no
81,None,Couple Leisure,Premium Economy,London to Nairobi,2022-06-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
82,A350,Couple Leisure,Economy Class,London Heathrow to Johannesburg,2022-06-01 00:00:00,1.0,3.0,3.0,2.0,2.0,4,0.0,no
83,None,Family Leisure,Economy Class,Belfast to London,2022-06-01 00:00:00,0.0,0.0,0.0,0.0,1.0,1,0.0,no
84,None,Family Leisure,Business Class,None,2022-06-01 00:00:00,2.0,2.0,2.0,2.0,1.0,1,0.0,no
85,None,Couple Leisure,Economy Class,London to Paris,2021-07-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
86,None,Business,Business Class,Miami to Paris,2022-06-01 00:00:00,3.0,4.0,4.0,2.0,3.0,1,1.0,no
87,None,Family Leisure,Economy Class,Edmonton to Cairo,2022-06-01 00:00:00,2.0,2.0,1.0,1.0,1.0,2,1.0,no
88,None,Couple Leisure,Premium Economy,Amsterdam to Montreal via London,2022-06-01 00:00:00,2.0,2.0,2.0,2.0,2.0,2,2.0,no
89,None,Solo Leisure,Economy Class,Hong Kong to London,2022-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
90,None,Family Leisure,Economy Class,Belfast to London,2022-06-01 00:00:00,3.0,1.0,2.0,0.0,1.0,1,0.0,no
91,A350,Business,Economy Class,London to Johannesburg,2022-06-01 00:00:00,1.0,4.0,1.0,2.0,3.0,2,1.0,no
92,A320,Couple Leisure,Economy Class,Paris CDG to London Heathrow,2022-06-01 00:00:00,1.0,4.0,1.0,1.0,2.0,1,1.0,no
93,None,Couple Leisure,Business Class,Portland to London,2022-06-01 00:00:00,2.0,4.0,2.0,2.0,4.0,2,0.0,no
94,A320,Business,Business Class,London to Malaga,2022-06-01 00:00:00,3.0,2.0,2.0,0.0,2.0,3,3.0,no
95,None,Couple Leisure,Economy Class,Boston to Edinburgh via Heathrow,2022-06-01 00:00:00,1.0,4.0,4.0,3.0,1.0,1,1.0,no
96,None,Couple Leisure,Economy Class,Edmonton to Santorini via Toronto / London,2022-06-01 00:00:00,1.0,1.0,0.0,0.0,1.0,1,0.0,no
97,A380,Solo Leisure,Economy Class,Vancouver to London,2022-06-01 00:00:00,1.0,2.0,1.0,3.0,2.0,3,0.0,no
98,Boeing 777-200,Couple Leisure,Business Class,London to san Francisco,2022-06-01 00:00:00,4.0,4.0,3.0,5.0,2.0,4,4.0,yes
99,None,Business,Economy Class,London to Amsterdam,2022-06-01 00:00:00,2.0,2.0,0.0,0.0,2.0,1,0.0,no
100,Boeing 777,Couple Leisure,Premium Economy,Cancun to London Gatwick,2022-06-01 00:00:00,4.0,3.0,2.0,4.0,3.0,3,0.0,no
101,None,Couple Leisure,Economy Class,Phoenix to Hamburg via London,2022-06-01 00:00:00,2.0,2.0,3.0,4.0,1.0,1,0.0,no
102,None,Family Leisure,Business Class,Dallas Fort-Worth to Toulouse via London,2022-06-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
103,A320,Couple Leisure,Business Class,London to Thira,2022-06-01 00:00:00,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
104,None,Family Leisure,Economy Class,Islamabad to Manchester via Gatwick,2022-04-01 00:00:00,5.0,5.0,5.0,0.0,5.0,4,0.0,yes
105,A380,Solo Leisure,Business Class,Vancouver to London,2022-06-01 00:00:00,4.0,5.0,3.0,4.0,2.0,5,4.0,yes
106,Boeing 777-300ER,Business,Economy Class,London to Boston,2022-05-01 00:00:00,4.0,5.0,5.0,0.0,5.0,3,5.0,yes
107,None,Solo Leisure,Economy Class,Johannesburg to Toronto via London,2022-05-01 00:00:00,4.0,4.0,4.0,0.0,4.0,3,1.0,yes
108,None,Couple Leisure,Economy Class,Zurich to London,2022-02-01 00:00:00,0.0,0.0,0.0,0.0,1.0,1,0.0,no
109,Boeing 777,Couple Leisure,Business Class,Johannesburg to London Heathrow,2022-04-01 00:00:00,4.0,4.0,3.0,0.0,3.0,3,0.0,yes
110,None,Couple Leisure,Business Class,Miami to Zurich via London,2022-05-01 00:00:00,4.0,3.0,3.0,4.0,1.0,1,0.0,no
111,Boeing 777-300,Family Leisure,Economy Class,Bridgetown to London ,2022-05-01 00:00:00,1.0,5.0,1.0,3.0,3.0,1,0.0,no
112,None,Family Leisure,Business Class,London to Malaga,2022-05-01 00:00:00,0.0,0.0,0.0,0.0,0.0,2,0.0,no
113,None,Couple Leisure,Business Class,Dubrovnik to London,2022-05-01 00:00:00,2.0,2.0,1.0,0.0,4.0,1,0.0,no
114,None,Couple Leisure,Economy Class,Amsterdam to London,2022-05-01 00:00:00,2.0,1.0,1.0,0.0,1.0,1,0.0,no
115,None,Business,Economy Class,Columbus to Nairobi via Chicago / London,2022-05-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
116,None,Solo Leisure,Economy Class,London to Geneva,2022-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
117,None,Solo Leisure,Business Class,London to Mauritius,2022-03-01 00:00:00,0.0,0.0,0.0,0.0,1.0,1,0.0,no
118,A320,Solo Leisure,Economy Class,London Heathrow to Malaga,2022-05-01 00:00:00,3.0,2.0,1.0,1.0,1.0,3,1.0,no
119,None,Solo Leisure,Economy Class,Basel to Johannesburg via London,2022-05-01 00:00:00,1.0,2.0,2.0,2.0,1.0,2,1.0,no
120,A320,Couple Leisure,Business Class,Athens to London,2022-05-01 00:00:00,2.0,4.0,3.0,0.0,3.0,2,2.0,no
121,Boeing 787,Solo Leisure,Premium Economy,London to Mexico City,2022-04-01 00:00:00,5.0,4.0,4.0,3.0,4.0,4,0.0,yes
122,None,Business,Economy Class,Glasgow to New York,2022-05-01 00:00:00,3.0,4.0,4.0,4.0,1.0,1,4.0,no
123,None,Solo Leisure,Economy Class,London Heathrow to Los Angeles,2022-05-01 00:00:00,1.0,5.0,0.0,0.0,4.0,1,0.0,no
124,Boeing 777,Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,2022-05-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,3.0,yes
125,None,Solo Leisure,Economy Class,Los Angeles to London,2022-05-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
126,Boeing 777,Solo Leisure,Economy Class,London to Cape Town,2022-04-01 00:00:00,2.0,1.0,2.0,0.0,1.0,1,0.0,no
127,None,Solo Leisure,Economy Class,São Paulo to Milan via London,2022-04-01 00:00:00,5.0,5.0,5.0,5.0,5.0,5,5.0,yes
128,A321 Neo,Family Leisure,Business Class,Madrid to London Heathrow,2022-04-01 00:00:00,3.0,5.0,5.0,0.0,5.0,4,0.0,yes
129,A320,Couple Leisure,Business Class,Dubrovnik to London Heathrow,2022-04-01 00:00:00,4.0,5.0,5.0,0.0,5.0,5,0.0,yes
130,None,Business,Business Class,London to Aberdeen,2022-04-01 00:00:00,1.0,2.0,1.0,0.0,3.0,1,0.0,no
131,A320,Solo Leisure,Business Class,Pisa to London Heathrow,2022-03-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
132,Boeing 737 800,Couple Leisure,Economy Class,Johannesburg to Durban,2022-04-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
133,A320,Couple Leisure,Economy Class,Gothenburg to Manchester via London,2022-04-01 00:00:00,3.0,3.0,1.0,0.0,1.0,1,1.0,no
134,Boeing 787,Solo Leisure,Business Class,Chicago to London,2022-03-01 00:00:00,5.0,5.0,5.0,4.0,3.0,4,0.0,yes
135,None,Couple Leisure,Economy Class,Riyadh to Nice via London,2022-04-01 00:00:00,2.0,3.0,2.0,3.0,1.0,2,0.0,no
136,None,Couple Leisure,Business Class,London to Glasgow,2022-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
137,A380,Family Leisure,Economy Class,Glasgow to Washington via London,2022-04-01 00:00:00,4.0,5.0,4.0,3.0,4.0,3,3.0,yes
138,A320neo,Business,Business Class,Malaga to London,2022-04-01 00:00:00,2.0,4.0,2.0,0.0,2.0,2,1.0,no
139,None,Couple Leisure,Economy Class,Nice to Dallas via London,2022-04-01 00:00:00,5.0,5.0,4.0,5.0,5.0,4,5.0,yes
140,None,Solo Leisure,Economy Class,London to Paris,2022-03-01 00:00:00,1.0,1.0,1.0,0.0,1.0,3,0.0,no
141,A320 / Boeing 777,Couple Leisure,Business Class,Phoenix to Paris via London,2022-04-01 00:00:00,3.0,2.0,2.0,1.0,2.0,2,0.0,no
142,Boeing 777-200,Business,Business Class,Phoenix to London Heathrow,2022-04-01 00:00:00,5.0,5.0,5.0,5.0,4.0,5,3.0,yes
143,None,Couple Leisure,Economy Class,Santorini to Los Angeles via London,2022-04-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
144,None,Family Leisure,Business Class,London to Tokyo,2022-06-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
145,Embraer,Solo Leisure,Business Class,Edinburgh to London City,2022-04-01 00:00:00,5.0,5.0,5.0,0.0,5.0,4,0.0,yes
146,Boeing 777-200ER,Solo Leisure,Business Class,Vancouver to London,2022-03-01 00:00:00,4.0,4.0,4.0,4.0,2.0,5,5.0,yes
147,A319,Couple Leisure,Business Class,London to Venice,2022-03-01 00:00:00,2.0,4.0,2.0,0.0,2.0,3,0.0,yes
148,A320,Business,Business Class,London to Barcelona,2022-04-01 00:00:00,1.0,1.0,1.0,0.0,1.0,1,0.0,no
149,Boeing 777,Couple Leisure,Business Class,Barbados to Heathrow,2022-03-01 00:00:00,2.0,3.0,3.0,1.0,4.0,3,0.0,yes
150,None,Business,Economy Class,Heathrow to Bologna,2022-04-01 00:00:00,1.0,1.0,0.0,0.0,1.0,1,0.0,no
151,A320,Business,Business Class,Geneva to London,2022-04-01 00:00:00,4.0,5.0,4.0,0.0,1.0,4,3.0,no
152,None,Solo Leisure,Economy Class,London to Singapore,2022-04-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1,1.0,no
153,Boeing 777,Couple Leisure,Business Class,London to Barbados,2022-03-01 00:00:00,4.0,5.0,4.0,2.0,4.0,4,0.0,yes
154,Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,2022-03-01 00:00:00,3.0,3.0,1.0,0.0,3.0,1,0.0,no
155,None,Couple Leisure,Economy Class,Sydney to Heathrow,2022-03-01 00:00:00,3.0,1.0,1.0,1.0,2.0,4,0.0,no
156,A320,Business,Business Class,London to Malaga,2022-03-01 00:00:00,2.0,1.0,2.0,1.0,1.0,1,0.0,no
157,None,Couple Leisure,Economy Class,Austin to London via Dublin,2022-03-01 00:00:00,2.0,1.0,2.0,0.0,1.0,1,0.0,no
158,Boeing 777-200,Couple Leisure,Business Class,Cape Town to London,2022-03-01 00:00:00,2.0,1.0,1.0,2.0,3.0,2,0.0,no
159,None,Couple Leisure,Economy Class,London Heathrow to Funchal,2022-03-01 00:00:00,3.0,3.0,1.0,0.0,1.0,3,0.0,no
160,None,Couple Leisure,Economy Class,Gatwick to Antalya,2022-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
161,Boeing 787-9,Couple Leisure,Economy Class,London to Austin,2022-03-01 00:00:00,4.0,1.0,1.0,1.0,1.0,3,0.0,no
162,None,Couple Leisure,Premium Economy,Dubai to Heathrow,2022-03-01 00:00:00,3.0,2.0,1.0,3.0,4.0,2,0.0,no
163,Boeing 787-900,Solo Leisure,First Class,Singapore to London,2022-03-01 00:00:00,5.0,1.0,1.0,4.0,2.0,2,0.0,no
164,A350,Family Leisure,Economy Class,Dublin to Dubai via London,2022-03-01 00:00:00,3.0,4.0,3.0,1.0,3.0,3,0.0,no
165,None,Couple Leisure,Economy Class,London Heathrow to Cairo,2022-02-01 00:00:00,1.0,3.0,1.0,0.0,1.0,1,0.0,no
166,None,Couple Leisure,Premium Economy,Male to London,2022-03-01 00:00:00,4.0,2.0,2.0,3.0,4.0,3,0.0,no
167,None,Business,Economy Class,Copenhagen to London,2022-03-01 00:00:00,2.0,2.0,1.0,0.0,1.0,1,0.0,no
168,None,Family Leisure,Premium Economy,New York to London,2022-03-01 00:00:00,1.0,3.0,3.0,3.0,1.0,1,0.0,no
169,A321-neo,Business,Business Class,London Heathrow to Sofia,2021-08-01 00:00:00,3.0,5.0,2.0,0.0,1.0,2,1.0,no
170,None,Family Leisure,Economy Class,Athens to Boston via London,2021-10-01 00:00:00,2.0,3.0,2.0,0.0,1.0,1,0.0,no
171,Boeing 777,Solo Leisure,Premium Economy,Cape Town to Glasgow via London,2022-02-01 00:00:00,3.0,3.0,2.0,3.0,2.0,3,0.0,yes
172,None,Business,Business Class,Bangalore to London,2022-03-01 00:00:00,3.0,4.0,1.0,1.0,2.0,1,2.0,no
173,Boeing 777-200,Couple Leisure,Business Class,London to Cape Town,2022-03-01 00:00:00,3.0,3.0,2.0,1.0,3.0,3,0.0,no
174,A320,Couple Leisure,Business Class,Lisbon to London,2022-02-01 00:00:00,1.0,3.0,1.0,0.0,3.0,1,0.0,no
175,A350,Solo Leisure,Premium Economy,Vancouver to London,2022-02-01 00:00:00,4.0,5.0,5.0,5.0,4.0,5,4.0,yes
176,A320,Business,Business Class,London to Malaga,2022-02-01 00:00:00,3.0,3.0,2.0,0.0,3.0,2,3.0,no
177,A322,Business,Economy Class,London to Athens,2022-02-01 00:00:00,2.0,3.0,1.0,0.0,1.0,1,0.0,no
178,None,Solo Leisure,Economy Class,London to Edinburgh,2022-02-01 00:00:00,0.0,0.0,0.0,0.0,1.0,1,0.0,no
179,Boeing 787-9,Family Leisure,Business Class,Washington to London,2022-02-01 00:00:00,4.0,5.0,4.0,4.0,5.0,4,4.0,yes
180,None,Couple Leisure,Economy Class,Accra to London ,2022-01-01 00:00:00,1.0,2.0,1.0,1.0,1.0,1,1.0,no
181,A320,Business,Business Class,Dublin to London,2022-02-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
182,Boeing 787-9,Family Leisure,Business Class,London to Washington,2022-02-01 00:00:00,4.0,5.0,5.0,4.0,5.0,4,5.0,yes
183,None,Family Leisure,Business Class,London to Porto,2022-02-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0.0,no
184,None,Solo Leisure,Business Class,Washington to London,2021-12-01 00:00:00,5.0,5.0,5.0,0.0,4.0,5,0.0,yes
185,None,Couple Leisure,Economy Class,Montréal to Dubai via London,2022-02-01 00:00:00,0.0,0.0,0.0,0.0,0.0,4,0.0,yes
186,Boeing 787-9,Couple Leisure,Business Class,Atlanta to Belfast via Heathrow,2022-01-01 00:00:00,4.0,5.0,4.0,4.0,5.0,5,0.0,yes
187,Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,2022-01-01 00:00:00,3.0,4.0,2.0,4.0,3.0,3,0.0,yes
188,Boeing 777,Couple Leisure,Business Class,London Heathrow to Orlando,2022-01-01 00:00:00,2.0,4.0,3.0,1.0,3.0,3,0.0,no
189,A380,Couple Leisure,Economy Class,London Heathrow to Dubai,2022-01-01 00:00:00,2.0,1.0,1.0,2.0,1.0,1,0.0,no
190,None,Solo Leisure,Economy Class,New York to Newcastle via London,2021-11-01 00:00:00,3.0,4.0,4.0,4.0,1.0,4,0.0,no
191,Boeing 737-800,Couple Leisure,Business Class,Cape Town to Durban,2022-01-01 00:00:00,3.0,2.0,3.0,0.0,4.0,3,0.0,yes
192,None,Solo Leisure,Economy Class,Durban to Cape Town,2022-01-01 00:00:00,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
193,None,Solo Leisure,Business Class,Bangalore to Detroit via London,2022-01-01 00:00:00,4.0,2.0,1.0,3.0,1.0,1,0.0,no
194,None,Business,Economy Class,New York to London,2022-01-01 00:00:00,1.0,1.0,2.0,3.0,1.0,2,0.0,no
195,None,Business,Economy Class,Las Vegas to London ,2022-01-01 00:00:00,1.0,4.0,1.0,1.0,1.0,1,0.0,no
196,None,Couple Leisure,Business Class,London to Dubai,2021-10-01 00:00:00,2.0,1.0,1.0,3.0,1.0,1,0.0,no
197,None,Family Leisure,Economy Class,Warsaw to London,2021-12-01 00:00:00,2.0,4.0,0.0,0.0,1.0,2,0.0,no
198,A319,Business,Business Class,Glasgow to London Heathrow,2021-12-01 00:00:00,2.0,1.0,1.0,0.0,2.0,1,0.0,no
