,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
1201,Boeing 777,Business,Economy Class,"London Heathrow to Abuja, Nigeria",2017-09-01 00:00:00,1.0,2.0,2.0,2.0,3.0,2,2.0,no
1202,Boeing 777,Business,Economy Class,London to Tokyo Haneda,2017-09-01 00:00:00,2.0,4.0,1.0,2.0,3.0,1,0.0,no
1203,A380,Solo Leisure,Premium Economy,London to Hong Kong,2017-09-01 00:00:00,3.0,5.0,3.0,3.0,2.0,3,0.0,no
1204,None,Family Leisure,Economy Class,Gatwick to Alicante,2017-09-01 00:00:00,1.0,1.0,1.0,1.0,3.0,1,3.0,no
1205,A320,Couple Leisure,Business Class,London Heathrow to Kalamata,2017-09-01 00:00:00,2.0,4.0,3.0,0.0,3.0,3,0.0,no
1206,None,Couple Leisure,Business Class,Gatwick to Mauritius,2017-09-01 00:00:00,1.0,3.0,1.0,3.0,3.0,2,0.0,no
1207,Boeing 777,Business,Business Class,Dubai to London,2017-09-01 00:00:00,3.0,1.0,1.0,1.0,3.0,1,0.0,no
1208,A319,Couple Leisure,Economy Class,London Heathrow to Biarritz,2017-09-01 00:00:00,4.0,5.0,4.0,0.0,4.0,4,0.0,yes
1209,A320,Couple Leisure,Economy Class,London Gatwick to Funchal,2017-09-01 00:00:00,1.0,1.0,1.0,0.0,2.0,1,0.0,no
1210,A320,Family Leisure,Business Class,Zakinthos to London Heathrow,2017-09-01 00:00:00,4.0,5.0,4.0,2.0,2.0,5,0.0,yes
1211,A319,Business,Economy Class,Belfast City to London Heathrow,2017-09-01 00:00:00,3.0,4.0,4.0,0.0,5.0,2,0.0,yes
1212,Boeing 777-200,Business,Business Class,Toronto to London Heathrow,2017-09-01 00:00:00,4.0,5.0,3.0,0.0,4.0,4,0.0,yes
1213,A320,Family Leisure,Business Class,London Heathrow to Zakinthos,2017-08-01 00:00:00,4.0,5.0,4.0,2.0,5.0,5,0.0,yes
1214,A380,Family Leisure,Economy Class,London to Vancouver,2017-08-01 00:00:00,3.0,5.0,3.0,4.0,4.0,3,0.0,yes
1215,Boeing 777-200ER,Business,Economy Class,London to Sao Paulo,2017-08-01 00:00:00,2.0,4.0,2.0,4.0,5.0,4,0.0,yes
1216,None,Business,Business Class,Istanbul to London,2017-08-01 00:00:00,1.0,3.0,1.0,0.0,2.0,1,0.0,no
1217,Boeing 777,Solo Leisure,Business Class,Bangkok to London,2017-09-01 00:00:00,4.0,1.0,1.0,2.0,4.0,1,0.0,no
1218,None,Solo Leisure,Economy Class,Rome to London,2017-09-01 00:00:00,1.0,2.0,0.0,0.0,1.0,1,0.0,no
1219,Boeing 747-400,Couple Leisure,Business Class,London to Cape Town,2017-08-01 00:00:00,2.0,2.0,2.0,1.0,1.0,2,0.0,no
1220,A319,Business,Economy Class,London to Milan,2017-08-01 00:00:00,3.0,1.0,1.0,0.0,3.0,2,0.0,yes
